id,sepallength,sepalwidthcm,petallengthcm,petalwidthcm,species
1,5.1,3.5,1.4,0.2,iris-setosa
2,4.9,3,1.4,0.2,iris-setosa
3,4.7,3.2,1.3,0.2,iris-setosa
4,4.6,3.1,1.5,0.2,iris-setosa
5,5,3.6,1.4,0.2,iris-setosa
6,5.4,3.9,1.7,0.4,iris-setosa
7,4.6,3.4,1.4,0.3,iris-setosa
8,5,3.4,1.5,0.2,iris-setosa
9,4.4,2.9,1.4,0.2,iris-setosa
10,4.9,3.1,1.5,0.1,iris-setosa
11,5.4,3.7,1.5,0.2,iris-setosa
12,4.8,3.4,1.6,0.2,iris-setosa
13,4.8,3,1.4,0.1,iris-setosa
14,4.3,3,1.1,0.1,iris-setosa
15,5.8,4,1.2,0.2,iris-setosa
16,5.7,4.4,1.5,0.4,iris-setosa
17,5.4,3.9,1.3,0.4,iris-setosa
18,5.1,3.5,1.4,0.3,iris-setosa
19,5.7,3.8,1.7,0.3,iris-setosa
20,5.1,3.8,1.5,0.3,iris-setosa
21,5.4,3.4,1.7,0.2,iris-setosa
22,5.1,3.7,1.5,0.4,iris-setosa
23,4.6,3.6,1,0.2,iris-setosa
24,5.1,3.3,1.7,0.5,iris-setosa
25,4.8,3.4,1.9,0.2,iris-setosa
26,5,3,1.6,0.2,iris-setosa
27,5,3.4,1.6,0.4,iris-setosa
28,5.2,3.5,1.5,0.2,iris-setosa
29,5.2,3.4,1.4,0.2,iris-setosa
30,4.7,3.2,1.6,0.2,iris-setosa
31,4.8,3.1,1.6,0.2,iris-setosa
32,5.4,3.4,1.5,0.4,iris-setosa
33,5.2,4.1,1.5,0.1,iris-setosa
34,5.5,4.2,1.4,0.2,iris-setosa
35,4.9,3.1,1.5,0.1,iris-setosa
36,5,3.2,1.2,0.2,iris-setosa
37,5.5,3.5,1.3,0.2,iris-setosa
38,4.9,3.1,1.5,0.1,iris-setosa
39,4.4,3,1.3,0.2,iris-setosa
40,5.1,3.4,1.5,0.2,iris-setosa
41,5,3.5,1.3,0.3,iris-setosa
42,4.5,2.3,1.3,0.3,iris-setosa
43,4.4,3.2,1.3,0.2,iris-setosa
44,5,3.5,1.6,0.6,iris-setosa
45,5.1,3.8,1.9,0.4,iris-setosa
46,4.8,3,1.4,0.3,iris-setosa
47,5.1,3.8,1.6,0.2,iris-setosa
48,4.6,3.2,1.4,0.2,iris-setosa
49,5.3,3.7,1.5,0.2,iris-setosa
50,5,3.3,1.4,0.2,iris-setosa
51,7,3.2,4.7,1.4,iris-versicolour
52,6.4,3.2,4.5,1.5,iris-versicolour
53,6.9,3.1,4.9,1.5,iris-versicolour
54,5.5,2.3,4,1.3,iris-versicolour
55,6.5,2.8,4.6,1.5,iris-versicolour
56,5.7,2.8,4.5,1.3,iris-versicolour
57,6.3,3.3,4.7,1.6,iris-versicolour
58,4.9,2.4,3.3,1,iris-versicolour
59,6.6,2.9,4.6,1.3,iris-versicolour
60,5.2,2.7,3.9,1.4,iris-versicolour
61,5,2,3.5,1,iris-versicolour
62,5.9,3,4.2,1.5,iris-versicolour
63,6,2.2,4,1,iris-versicolour
64,6.1,2.9,4.7,1.4,iris-versicolour
65,5.6,2.9,3.6,1.3,iris-versicolour
66,6.7,3.1,4.4,1.4,iris-versicolour
67,5.6,3,4.5,1.5,iris-versicolour
68,5.8,2.7,4.1,1,iris-versicolour
69,6.2,2.2,4.5,1.5,iris-versicolour
70,5.6,2.5,3.9,1.1,iris-versicolour
71,5.9,3.2,4.8,1.8,iris-versicolour
72,6.1,2.8,4,1.3,iris-versicolour
73,6.3,2.5,4.9,1.5,iris-versicolour
74,6.1,2.8,4.7,1.2,iris-versicolour
75,6.4,2.9,4.3,1.3,iris-versicolour
76,6.6,3,4.4,1.4,iris-versicolour
77,6.8,2.8,4.8,1.4,iris-versicolour
78,6.7,3,5,1.7,iris-versicolour
79,6,2.9,4.5,1.5,iris-versicolour
80,5.7,2.6,3.5,1,iris-versicolour
81,5.5,2.4,3.8,1.1,iris-versicolour
82,5.5,2.4,3.7,1,iris-versicolour
83,5.8,2.7,3.9,1.2,iris-versicolour
84,6,2.7,5.1,1.6,iris-versicolour
85,5.4,3,4.5,1.5,iris-versicolour
86,6,3.4,4.5,1.6,iris-versicolour
87,6.7,3.1,4.7,1.5,iris-versicolour
88,6.3,2.3,4.4,1.3,iris-versicolour
89,5.6,3,4.1,1.3,iris-versicolour
90,5.5,2.5,4,1.3,iris-versicolour
91,5.5,2.6,4.4,1.2,iris-versicolour
92,6.1,3,4.6,1.4,iris-versicolour
93,5.8,2.6,4,1.2,iris-versicolour
94,5,2.3,3.3,1,iris-versicolour
95,5.6,2.7,4.2,1.3,iris-versicolour
96,5.7,3,4.2,1.2,iris-versicolour
97,5.7,2.9,4.2,1.3,iris-versicolour
98,6.2,2.9,4.3,1.3,iris-versicolour
99,5.1,2.5,3,1.1,iris-versicolour
100,5.7,2.8,4.1,1.3,iris-versicolour
101,6.3,3.3,6,2.5,iris-versicolour
102,5.8,2.7,5.1,1.9,iris-versicolour
103,7.1,3,5.9,2.1,iris-versicolour
104,6.3,2.9,5.6,1.8,iris-versicolour
105,6.5,3,5.8,2.2,iris-versicolour
106,7.6,3,6.6,2.1,iris-versicolour
107,4.9,2.5,4.5,1.7,iris-versicolour
108,7.3,2.9,6.3,1.8,iris-versicolour
109,6.7,2.5,5.8,1.8,iris-versicolour
110,7.2,3.6,6.1,2.5,iris-versicolour
111,6.5,3.2,5.1,2,iris-virginica
112,6.4,2.7,5.3,1.9,iris-virginica
113,6.8,3,5.5,2.1,iris-virginica
114,5.7,2.5,5,2,iris-virginica
115,5.8,2.8,5.1,2.4,iris-virginica
116,6.4,3.2,5.3,2.3,iris-virginica
117,6.5,3,5.5,1.8,iris-virginica
118,7.7,3.8,6.7,2.2,iris-virginica
119,7.7,2.6,6.9,2.3,iris-virginica
120,6,2.2,5,1.5,iris-virginica
121,6.9,3.2,5.7,2.3,iris-virginica
122,5.6,2.8,4.9,2,iris-virginica
123,7.7,2.8,6.7,2,iris-virginica
124,6.3,2.7,4.9,1.8,iris-virginica
125,6.7,3.3,5.7,2.1,iris-virginica
126,7.2,3.2,6,1.8,iris-virginica
127,6.2,2.8,4.8,1.8,iris-virginica
128,6.1,3,4.9,1.8,iris-virginica
129,6.4,2.8,5.6,2.1,iris-virginica
130,7.2,3,5.8,1.6,iris-virginica
131,7.4,2.8,6.1,1.9,iris-virginica
132,7.9,3.8,6.4,2,iris-virginica
133,6.4,2.8,5.6,2.2,iris-virginica
134,6.3,2.8,5.1,1.5,iris-virginica
135,6.1,2.6,5.6,1.4,iris-virginica
136,7.7,3,6.1,2.3,iris-virginica
137,6.3,3.4,5.6,2.4,iris-virginica
138,6.4,3.1,5.5,1.8,iris-virginica
139,6,3,4.8,1.8,iris-virginica
140,6.9,3.1,5.4,2.1,iris-virginica
141,6.7,3.1,5.6,2.4,iris-virginica
142,6.9,3.1,5.1,2.3,iris-virginica
143,5.8,2.7,5.1,1.9,iris-virginica
144,6.8,3.2,5.9,2.3,iris-virginica
145,6.7,3.3,5.7,2.5,iris-virginica
146,6.7,3,5.2,2.3,iris-virginica
147,6.3,2.5,5,1.9,iris-virginica
148,6.5,3,5.2,2,iris-virginica
149,6.2,3.4,5.4,2.3,iris-virginica
150,5.9,3,5.1,1.8,iris-virginica
